cc,minute_start,minute_end,samples,sampled_span_s,output_tokens_per_s,prompt_tokens_per_s,prefix_hit_percent,preemptions,recomputed_tokens,backend_running_mean,backend_waiting_mean,kv_mean_percent,completed_tasks
32,20,21,60,59.1489315032959,369.67700758519334,46680.67418675425,88.04555659324508,0.0,0.0,28.85,0.3,61.311196840268224,8
32,21,22,60,59.163007974624634,218.7684575732074,22135.994176660337,70.54220467122184,0.0,0.0,26.983333333333334,3.6166666666666667,52.193441719481946,3
32,22,23,59,58.154137134552,264.9682509147714,31128.24107099436,59.90787971590093,0.0,0.0,27.220338983050848,3.2711864406779663,56.30537431519165,3
32,23,24,60,59.15505886077881,223.91998681252954,36214.97537584895,86.45904728518988,0.0,0.0,27.466666666666665,3.316666666666667,61.04803894553136,3
32,24,25,60,59.15311646461487,304.0414618012315,38082.422949728294,89.86158660813678,0.0,0.0,29.533333333333335,0.9333333333333333,67.98245614035088,4
32,25,26,60,59.157477140426636,201.29323587841768,27173.217616839145,55.540035473474816,0.0,0.0,25.583333333333332,4.383333333333334,56.510976393864254,4
32,26,27,60,59.15313935279846,263.8575090142127,37184.974864667754,80.2884555672856,0.0,0.0,27.216666666666665,3.283333333333333,51.8581794801139,4
32,27,28,60,59.16211462020874,155.4880189637066,13007.040146214518,13.455926412558366,0.0,0.0,22.333333333333332,8.4,47.78635069348764,2
32,28,29,60,59.16319966316223,256.0037335071755,41368.16490545407,49.15367723259812,0.0,0.0,26.95,4.116666666666666,56.27399650959861,1
32,29,30,59,58.14883494377136,278.4578575934893,42879.10501407352,82.68108548446322,0.0,0.0,26.89830508474576,2.8813559322033897,55.52073457225457,6
64,0,1,60,59.15501427650452,435.5843763228414,43688.92530259252,52.96133318248221,0.0,0.0,43.75,16.3,45.52907136952328,10
64,1,2,60,59.15385460853577,269.1963204322141,21031.41051809802,21.36091228294275,0.0,0.0,26.433333333333334,34.88333333333333,26.8912464407091,7
64,2,3,60,59.1541907787323,265.6447462662215,20613.805783620122,21.892564267944348,0.0,0.0,26.816666666666666,35.13333333333333,28.01093046753008,7
64,3,4,60,59.155083656311035,237.15628704893732,20384.807618666106,17.042561414646272,0.0,0.0,23.783333333333335,37.93333333333333,24.726279048406358,6
64,4,5,59,58.160704612731934,224.84253048642262,19847.95417604513,20.313079742188563,0.0,0.0,22.406779661016948,40.355932203389834,22.491604821798035,2
64,5,6,60,59.155455589294434,215.77046229883055,19138.725054547478,17.046742278264894,0.0,0.0,22.25,40.7,25.274180214935242,4
64,6,7,60,59.15626120567322,231.4040766100207,19631.90330711137,20.357673243796487,0.0,0.0,24.45,37.65,26.510976393864244,6
64,7,8,60,59.157288789749146,198.92730449200664,19893.051626867673,21.428683360758924,0.0,0.0,20.9,41.6,26.107743179939373,4
64,8,9,60,59.15000319480896,200.9636408784372,19154.267773554922,19.13840020212056,0.0,0.0,21.566666666666666,40.78333333333333,27.96867824010288,4
